vendor,item_description,unit_price,quantity_ordered,total_price,file_name,approved
Strategic Mechanical Services,Servicing of residential systems Removed and installed a replacement tank as per Reliance.,115.00,8,920.00,321Z65L_0NBMNEJLZ01RXYW,True
Strategic Mechanical Services,Parts and Materials: 1) hot water tank,763.81,1,763.81,321Z65L_0NBMNEJLZ01RXYW,True
