LocationCode
BEA
BEB
BEC
CBA
CBB
CBD
DAA
DAC
LAN
RCA
RCB
RCC
RCD
RCE
RCF
RCG
RCH
RCI
RCJ
RCK
RCL
RCM
RCN
RCO
RCQ
RCS
RCT
RCV
RCW
RCX
RCY
RNA
RND
RNH
RNK
RNT
RNV
SWO
